commit	val_delta_r2_mean	val_delta_r2_TP	val_delta_r2_DM	val_mean_r2_TP	val_mean_r2_DM	memory_gb	epochs	status	description
c5d1230	+0.03571	+0.03916	+0.03225	+0.05505	+0.03919	14.0	250	keep	baseline: jul1 iter 12 config (patch=400 d=12 e=512 lr=1e-4) + task=[TP,DM]; wall 68 min (per-ep ~11s); TP delta_r2=+0.039 slightly UNDER single-movie iter 12 on TP (+0.042 shape-matched-rand); adds DM coverage (delta_r2=+0.032) we had no single-movie baseline for
288ec7a	+0.04128	+0.04467	+0.03789	+0.06056	+0.04484	14.0	400	keep	NEW BEST. epochs 250 to 400 at iter12 config + multimovie; +0.00557 over iter0; TP now BEATS single-movie iter12 (+0.0447 vs +0.0421); positive transfer confirmed given enough epochs; high-level features climb most (motion 0.083 to 0.094 depth 0.036 to 0.046)
e7b7484	+0.04119	+0.04574	+0.03665	+0.06162	+0.04359	14.0	500	discard	epochs 400 to 500 at iter1 config; TIED with iter1 (-0.00009); more compute (117 min wall) TP +0.001 DM -0.001 - capacity competition surfaces at ep500 as TP gains at DMs expense; multi-movie saturates around ep400 similar to single-movie ep500
ba2b74e	+0.02986	+0.03199	+0.02774	+0.04787	+0.03469	14.0	160	keep	NEW SAME-BUDGET BASELINE for 30-min-training iters. iter12 config at 160 ep multi-movie (~43 min wall total including probes). Not comparable to iter1 (400 ep +0.041) - shorter-budget point on same trajectory. Reference number for iter5+ compute-matched comparisons
ba2b74e-w	+0.02502	+0.02716	+0.02288	+0.04304	+0.02983	17	85	discard	wider encoder embed 512 to 768 (heads=12 freqs=5) at compute-matched 85 ep vs iter4 baseline 160 ep; hurts mean -0.00484 (TP -0.005 DM -0.005); at same 30-min training, more epochs at narrow beats wider architecture; consistent with jul1 iter13 tie at single-movie 250 ep
8a2cc44	+0.02935	+0.03205	+0.02664	+0.04794	+0.03359	14.0	400	discard	lr 1e-4 to 2e-4 at multi-movie 400 ep; hurts vs iter1 baseline by -0.01193 mean (TP -0.013 DM -0.011); jul1 iter4 finding replicates - from-scratch prefers lr=1e-4 across data scales (single AND multi-movie)
1667182-w	+0.04196	+0.04724	+0.03669	+0.06312	+0.04363	17.0	400	discard	DIAG: wider (embed 768 heads 12 freqs 5) at 400 ep; +0.0007 over iter1 (essentially TIED); TP most helped (+0.0025) DM slightly worse; 2x capacity axis is not the bottleneck
1667182-d	+0.04187	+0.04581	+0.03792	+0.06170	+0.04487	14.0	400	discard	DIAG: deeper (depth 24) at 400 ep; +0.0006 over iter1 (essentially TIED); DM most helped (matches baseline exactly); depth axis balanced across movies but not the bottleneck
1667182-b	+0.03781	+0.04149	+0.03414	+0.05738	+0.04108	20.0	400	discard	DIAG: both wider AND deeper (4x params) at 400 ep; HURTS by -0.0035 mean; capacity increase past 2x is destructive at fixed compute+data
1667182-2c	+0.03828	+0.04347	+0.03310	+0.05936	+0.04005	14.0	800	discard	DIAG: 2x compute (800 ep same shape); HURTS by -0.0031 mean (DM regresses more than TP); schedule-length pathology from jul1 sec 3.2 applies to multi-movie too
